tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
YHR040W	YHR040W	BCD1	89.5709	96.1531	85.8891	96.8009	78.6411	94.3341	86.6971	78.5203	74.3557
YHR041C	YHR041C	SRB2	97.373	120.481	73.8304	128.952	102.604	127.523	118.191	93.4414	107.33
YHR042W	YHR042W	NCP1	176.606	181.459	157.338	165.717	166.187	173.107	177.266	168.916	173.646
YHR043C	YHR043C	DOG2	64.9734	91.5012	97.0678	115.783	110.343	98.1703	104.546	103.673	102.243
YHR044C	YHR044C	DOG1	14.7748	15.9933	17.3014	17.1324	19.2025	12.2212	19.7943	12.9729	18.2411
YHR045W	YHR045W	YHR045W	67.1862	66.798	60.1681	68.0197	60.9113	70.7435	57.7444	63.9485	62.3502
YHR046C	YHR046C	INM1	61.7711	92.4594	73.7374	86.0655	127.731	85.3305	115.481	102.799	113.564
YHR047C	YHR047C	AAP1	67.4036	69.7325	86.7886	61.1231	89.7749	63.0214	90.4354	100.169	92.4686
YHR048W	YHR048W	YHK8	18.0706	19.8736	15.8814	19.0127	18.2487	21.1004	19.4978	20.1198	20.7044
YHR049C-A	YHR049C-A	YHR049C-A	50.1669	66.4172	43.4574	97.7659	67.5733	74.1759	52.1762	41.3112	57.7826
YHR049W	YHR049W	FSH1	193.717	340.106	201.101	389.828	267.684	334.782	266.571	233.355	259.137
YHR050W	YHR050W	SMF2	44.7222	45.6443	48.8992	42.5416	51.977	45.5353	49.9367	52.4243	49.2753
YHR050W-A	YHR050W-A	YHR050W-A	30.0087	22.8763	11.3636	15.1015	6.44205	16.8872	11.5065	3.70671	7.83455
YHR051W	YHR051W	COX6	410.676	410.612	407.156	415.71	352.771	393.587	314.236	356.888	350.46
YHR052W	YHR052W	CIC1	373.603	404.059	309.53	471.195	390	407.139	382.882	370.916	380.41
YHR052W-A	YHR052W-A	YHR052W-A	0	0	0	0	0	0	0	0	0
YHR053C	YHR053C	CUP1-1	0	0	0	0	0	0	0	0	0
YHR054C	YHR054C	YHR054C	0	0	0	0	0	0	0	0	0
YHR054W-A	YHR054W-A	YHR054W-A	0	0	0	0	0	0	0	0	0
YHR055C	YHR055C	CUP1-2	0	0	0	0	0	0	0	0	0
YHR056C	YHR056C	RSC30	20.0006	19.1367	16.044	16.9491	19.518	19.4994	19.2654	18.3049	19.5996
YHR056W-A	YHR056W-A	YHR056W-A	43.5783	55.429	42.047	35.1404	40.7898	45.0932	40.4603	38.3349	39.9723
YHR057C	YHR057C	CPR2	186.101	167.97	203.14	175.018	164.19	156.961	182.971	188.52	175.719
YHR058C	YHR058C	MED6	43.7429	42.3107	45.9536	43.6042	48.5272	44.9853	45.4599	43.1564	49.9864
YHR059W	YHR059W	FYV4	101.847	112.291	140.68	123.046	131.292	114.628	125.976	140.475	128.991
YHR060W	YHR060W	VMA22	174.968	160.26	182.576	155.952	151.354	145.963	147.362	183.325	151.963
YHR061C	YHR061C	GIC1	27.6713	36.3868	26.6237	38.2213	29.0091	32.8134	32.1524	27.6467	29.0488
YHR062C	YHR062C	RPP1	127.949	148.093	118.882	135.163	132.872	131.231	136.595	132.27	142.912
YHR063C	YHR063C	PAN5	126.792	127.793	108.544	138.637	117.514	133.278	115.588	114.671	122.851
YHR063W-A	YHR063W-A	YHR063W-A	306.77	299.586	242.882	353.432	286.696	264.815	248.428	279.05	271.243
YHR064C	YHR064C	SSZ1	830.174	862.216	676.638	811.146	688.942	785.432	694.34	716.232	720.514
YHR065C	YHR065C	RRP3	161.854	164.271	126.13	168.342	141.102	154.152	136.772	137.122	140.598
YHR066W	YHR066W	SSF1	247.277	220.972	201.468	256.937	208.711	208.533	205.638	213.415	213.2
YHR067W	YHR067W	HTD2	35.6037	28.9988	36.9159	31.5243	31.7127	30.8955	29.5409	29.5652	29.4871
YHR068W	YHR068W	DYS1	480.4	525.124	426.779	586.912	468.671	500.563	472.237	451.951	478.079
YHR069C	YHR069C	RRP4	143.17	179.387	153.169	186.299	175.167	166.048	170.298	166.399	174.142
YHR069C-A	YHR069C-A	YHR069C-A	0.899057	0	0	0	0	0.338589	0	0	0
YHR070C-A	YHR070C-A	YHR070C-A	152.137	159.34	168.31	128.371	150.159	147.318	146.531	151.129	158.81
YHR070W	YHR070W	TRM5	86.1501	80.9774	93.4013	67.6022	84.8318	77.5364	89.0606	90.5167	87.2818
YHR071C-A	YHR071C-A	YHR071C-A	16.0523	9.1778	8.70734	10.6025	7.7535	7.71509	10.7714	9.41832	7.8579
YHR071W	YHR071W	PCL5	367.317	508.942	253.362	309.811	382.231	307.927	404.495	366.009	370.625
YHR072W	YHR072W	ERG7	171.246	144.711	151.792	143.237	125.605	137.292	124.45	133.875	123.72
YHR072W-A	YHR072W-A	NOP10	6226.35	6084.22	5033.8	6583.19	4201.08	5707.87	4688.4	5001.03	4846.99
YHR073C-B	YHR073C-B	YHR073C-B	1462.34	1671.59	1403.29	2298.91	1490.63	1727.59	2055.27	1551.41	1622.01
YHR073W	YHR073W	OSH3	52.221	51.9432	45.5201	48.6971	46.0014	50.9377	47.0552	47.5534	48.9549
YHR073W-A	YHR073W-A	YHR073W-A	0	13.8806	0	0	11.3758	0	7.75627	0	4.30121
YHR074W	YHR074W	QNS1	65.2306	76.5895	63.0666	74.4451	71.5757	76.4926	71.1303	68.8329	71.2322
YHR075C	YHR075C	PPE1	10.5735	13.2864	10.7497	13.0015	8.83289	11.7388	11.1295	9.51469	9.18082
YHR076W	YHR076W	PTC7	82.6616	71.8536	94.868	66.7404	69.2089	63.3441	63.5245	80.9993	66.3856
YHR077C	YHR077C	NMD2	39.7525	48.8773	37.8794	51.1302	51.4035	48.1096	48.159	44.9628	48.1478
YHR078W	YHR078W	YHR078W	35.4776	35.3451	28.6107	40.9973	39.5261	39.7078	37.032	34.1653	39.1078
YHR079C	YHR079C	IRE1	21.5419	24.238	18.2875	22.6836	22.3717	22.7052	22.6563	20.243	21.3532
YHR079C-A	YHR079C-A	SAE3	0.604007	2.63114	0	0.759898	1.29664	2.71921	0	0	0.78846
YHR080C	YHR080C	YHR080C	11.4193	9.78861	11.6289	8.89283	10.5309	8.54481	9.81527	10.4404	9.79666
YHR081W	YHR081W	LRP1	325.85	339.143	241.318	367.635	260.015	312.181	254.97	259.359	268.226
YHR082C	YHR082C	KSP1	35.541	33.3126	33.2597	30.2329	31.6245	31.3894	30.8627	31.1151	30.6991
YHR083W	YHR083W	SAM35	98.1458	105.03	101.779	108.558	100.712	111.762	105.469	104.932	105.098
YHR084W	YHR084W	STE12	64.8317	76.9742	38.2131	72.8172	69.9186	78.9733	64.9596	56.1232	64.1675
YHR085W	YHR085W	IPI1	108.719	127.172	106.502	151.193	127.456	126.795	122.79	118.887	122.525
YHR086W	YHR086W	NAM8	32.493	36.908	34.0024	36.7914	30.1142	35.7448	32.8225	29.8214	32.6556
YHR086W-A	YHR086W-A	YHR086W-A	22.0348	31.9955	9.27119	46.203	31.5352	16.5333	28.1634	22.6814	23.9698
YHR087W	YHR087W	RTC3	10.3981	14.0573	14.9355	18.0439	25.016	22.5988	15.1233	18.1586	21.5304
YHR088W	YHR088W	RPF1	310.044	294.272	243.175	302.856	239.786	268.653	241.947	266.448	256.773
YHR089C	YHR089C	GAR1	983.957	1161.58	643.956	1269.72	866.801	1117.57	880.18	837.788	861.719
YHR090C	YHR090C	YNG2	82.4754	61.0088	72.1161	52.114	44.3029	56.7126	45.7461	51.4408	48.8493
YHR091C	YHR091C	MSR1	24.1471	24.7608	31.0385	24.9159	27.611	25.7764	28.8835	27.9819	27.1162
YHR092C	YHR092C	HXT4	59.7532	108.126	176.964	95.8098	160.359	108.786	180.03	167.063	165.031
YHR093W	YHR093W	AHT1	4.15608	3.77176	3.67223	5.05444	2.6766	5.76906	6.0203	3.59355	6.32948
YHR094C	YHR094C	HXT1	191.058	407.342	303.415	441.009	547.469	393.278	545.075	457.403	520.846
YHR095W	YHR095W	YHR095W	1.64242	2.50412	1.86585	3.30612	2.2918	1.84853	2.30917	2.4345	2.78719
YHR096C	YHR096C	HXT5	8.10261	5.71744	9.6147	7.21587	8.46905	6.72854	7.13688	6.48488	7.5267
YHR097C	YHR097C	YHR097C	21.74	34.817	17.8235	33.3842	29.5119	33.3438	27.9229	24.7474	30.3961
YHR098C	YHR098C	SFB3	47.1495	56.9029	53.5424	62.1322	73.344	62.0112	70.8233	68.8558	74.5526
YHR099W	YHR099W	TRA1	8.0246	6.8563	12.5411	6.54149	9.37607	7.28087	9.08246	9.51069	9.35525
YHR100C	YHR100C	GEP4	103.826	109.835	106.684	112.108	104.922	105.914	99.7433	104.732	94.8197
YHR101C	YHR101C	BIG1	20.6878	28.1621	21.2358	27.8221	26.0341	27.5659	24.9222	24.5258	27.1607
